makes me feel like,gibt mir das Gefühl
have screw loose,einen Huscher haben
just about make it,gerade (mal) so über die Runden kommen
make no pretence of,keinen Hehl aus machen
make the fur fly,die Fetzen fliegen lassen
not be getting ahead,auf keinen grünen Zweig kommen
put on the dog,(einen) auf fein machen
put one's back into,sich bei ordentlich ins Zeug legen
set house on fire,den roten Hahn aufs Dach setzen
take the cleaners,bis aufs Hemd ausziehen
(There are) no two ways about it.,Das steht fest wie das Amen in der Kirche.
Don't let the grass grow under your feet.,Schiebe es nicht auf die lange Bank!
for better or (for) worse,auf Gedeih und Verderben
He got off with slap on the wrist.,Er ist mit einem blauen Auge davongekommen.
Her anger was writ large in her face.,Ihr Ärger stand ihr deutlich ins Gesicht geschrieben.
don't give damn (about that)!,Das tangiert mich nur peripher!
don't give damn.,Es ist mir schezko jedno.
don't give flying fig.,Das kratzt mich nicht im Geringsten.
want come clean with you.,Ich möchte Ihnen reinen Wein einschenken.
wouldn't go the stake for it.,Ich würde mich dafür nicht kreuzigen lassen.
I'll see you further first.,Sie können mich (mal) gern haben.
I'll teach him lesson he won't forget.,Ich werde ihm einen Denkzettel verpassen.
I'm up my ears in work.,Ich habe viel um die Ohren.
"If when..., there'll be hell pay.","Wenn..., dann sind die Puppen am Tanzen."
"If he can't cut the mustard, then ...","Wenn er es nicht bringt, dann ..."
It was like bolt from the blue.,Es kam wie ein Blitz aus heiterem Himmel.
"Let's get one thing out of the way, ...","Eines (gleich) vorweg, ..."
not for all the coffee in Brazil,um nichts auf der Welt
Now we've come full circle.,Jetzt ist wieder alles beim Alten.
Please don't put ideas into his head.,Setz ihm bitte keinen Floh ins Ohr.
has (got) another thing coming,wird sich noch umschauen
was snatched from the jaws of death,ist dem Tod von der Schippe gesprungen
"Shut your mouth, you'll catch fly.","Mach den Mund zu, sonst kommen Fliegen rein."
Speak of the devil and the devil shows up!,Mal den Teufel nicht an die Wand!
does not amount hill of beans,ist von geringem oder keinem Wert
is written all over face,ist an der Nase anzusehen
That was real blow.,Das war ein Schlag ins Kontor.
That's him tee T.,"Das ist er, wie er leibt und lebt."
The laughter sticks in throat.,Jdm. bleibt das Lachen im Hals stecken.
The noose is slowly tightening on him.,Die Schlinge um seinen Hals zieht sich langsam zu.
There is nothing it.,Das ist (doch) kein Kunststück.
Those last few remarks were quite beyond the pale.,Diese letzten Bemerkungen haben eindeutig die Grenzen überschritten.
with (one's) tongue planted firmly in (one's) cheek,ganz im Ernst
with (one's) tongue planted firmly in (one's) cheek,voll im Ernst
with all one's war paint on,in voller Kriegsbemalung
You can bet your boots (that) ...,"Du kannst dein Hemd (darauf) verwetten, dass ..."
Unverified You can bet your boots (that) ...,"Du kannst deinen Kopf (darauf) verwetten, dass ..."
You can bet your bottom dollar (on it).,Darauf kannst du (aber) Gift nehmen.
Unverified You can bet your bottom dollar (that) ...,"Du kannst dein Hemd (darauf) verwetten, dass ..."
You can bet your bottom dollar (that) ...,"Du kannst deinen Kopf (darauf) verwetten, dass ..."
You're pain in the ass.,Du gehst mir auf die Eier.
You've had it as far as I'm concerned.,Bei mir hast du endgültig ausgespielt.
(allow oneself to) be lulled into (false) sense of security,sich in (falscher) Sicherheit wiegen
be few bricks short of load,nicht (mehr) alle Tassen im Schrank haben
be all geared up do,"sich total darauf freuen, zu tun"
be at complete loss (as what do),dastehen wie der Ochs vorm Berg
be at complete loss (as what do),wie ein Schwein ins Uhrwerk blicken
be at complete loss (as what do),wie ein Schwein ins Uhrwerk gucken
be at it hammer and tongs,"sich streiten, dass die Fetzen fliegen"
be dressed (up) like dog's dinner,wie ein Pfingstochse aufgeputzt sein
be dressed (up) like dog's dinner,wie ein Pfingstochse geschmückt sein
be dressed (up) like dog's dinner,wie ein Pfingstochse herausgeputzt sein
be dressed (up) like dog's dinner,wie eine Pfingstkuh aufgeputzt sein
be dressed (up) like dog's dinner,wie eine Pfingstkuh geschmückt sein
be dressed (up) like dog's dinner,wie eine Pfingstkuh herausgeputzt sein
be half in the bag,einen im Kahn haben
be in blue funk,die Hosen voll haben
be not patch on,nicht annähernd so gut wie sein
be one card shy of (full) deck,nicht die hellste Kerze auf der Torte sein
be out of one's senses,nicht (mehr) bei Sinnen sein
be out on one's ear,ohne große Umstände vor die Tür gesetzt worden sein
be rushed off one's feet,vor Arbeit kein Bein mehr auf den Boden bekommen
be spoiling for fight,auf Krawall gebürstet sein
be unable pull the wool over eyes,nichts vormachen können
be well on the way doing,"auf dem besten Wege sein, zu tun"
beat the (living) daylights out of,krumm und lahm hauen prügeln schlagen
begrudge the (very) air he she breathes,nicht das Salz in der Suppe gönnen
bring in the one's big guns (against,schweres Geschütz auffahren (gegen
Unverified call every (possible) name in the book,alle möglichen Schimpfwörter an den Hals werfen
come out of left field,aus dem heiteren Himmel kommen
count one's chickens before they hatch,"das Fell des Bären verteilen, bevor er erlegt ist"
cry one's heart out in front of,die Hucke voll heulen
cut off one's nose spite one's face,sich ins eigene Fleisch schneiden
devote one's body and soul,sich mit Haut und Haaren verschreiben
do oneself the honour of doing,"sich die Ehre geben, zu tun"
drive out of their mind,um den Verstand bringen
face more difficulties than one can pray over,"sich mehr Schwierigkeiten gegenüber sehen, als man bewältigen kann"
feel like square peg in round hole,sich (völlig) fehl am Platze fühlen
get (a) hold of oneself,sich wieder einkriegen
get (back) on the right track,(wieder) ins (rechte) Gleis kommen
get (hold of) the wrong end of the stick,in den falschen Hals bekommen
get (hold of) the wrong end of the stick,in die falsche Kehle bekommen
get out of one's head,vergessen
get the advantage of (by doing,sich (durch gegenüber einen Vorteil verschaffen
give bad hard rough thin time (of it),das Leben schwer machen
give piece of one's mind,sich kaufen
go off the deep end (about,(wegen auf die Palme gehen
go out of one's way (to do,sich große Mühe geben zu tun)
go out of one's way do,sich bei besondere Mühe geben
have bone pick with,mit ein Hühnchen zu rupfen haben
have an ax grind with,mit ein Hühnchen zu rupfen haben
have been read the riot act,eins einen auf den Deckel gekriegt haben
have got one's teeth into,am beim Wickel haben
hit the hay (for while),sich (eine Zeitlang) aufs Ohr legen
keep tight rein on,an der (kurzen) Leine halten haben
Unverified keep on tight rein,an der (kurzen) Leine halten haben
kick up rumpus over,wegen Krach schlagen
look down one's nose at,über die Achsel ansehen
make real dog's dinner of,total in den Sand setzen
make song and dance about,ein großes Trara um machen
make song and dance about,eine große Nummer Geschichte Sache aus machen
make song and dance about,eine Haupt- und Staatsaktion aus machen
mind one's Ps and Qs,sich von der besten Seite zeigen
not give hang about,sich (überhaupt) nicht um scheren
not have penny one's name,keine müde Mark in der Tasche haben
not know one's arse from one's elbow,dumm wie Bohnenstroh sein
not lose any sleep over,sich über nicht (weiter) den Kopf zerbrechen
pluck up the courage do,sich ein Herz fassen und tun
pull the rug out from under feet,den Boden unter den Füßen wegziehen
put place on pedestal,in den Himmel heben
raise the devil with for,wegen abkanzeln
talk until one is blue in the face,sich den Mund fusselig reden
tie knot in one's handkerchief,sich einen Knoten ins Taschentuch machen
dead albatross around one's neck,eine Bürde
the straw break the camel's back,der Tropfen der das Fass zum Überlaufen bringt
in kind,in gleicher Weise
get spliced,im Hafen der Ehe landen
shit bricks,sich vor Angst in die Hose scheißen
for my liking,für meinen Geschmack
in flash,in null Komma Josef
in flash,in null Komma nichts
on the rocks,kaputt
bask in favour,sich in Gunst sonnen
hold in check,in Schach halten
the bee's knees,das Größte
the ganze megillah,der ganze Rattenschwanz
(as) hard as stone,(so) hart wie Stein
in one's mind's eye,im Geiste
on the back foot,in der Defensive
once in while,ab und zu
That's the God's truth!,Das ist die reine Wahrheit!
without lifting finger,ohne einen Finger krumm zu machen
be at the helm,das Heft in der Hand halten
be beside oneself (with,außer sich sein (vor
be in Queer Street,(finanziell) in der Klemme stecken
be in the doghouse,in Ungnade stehen
be on the cards,(durchaus) zu erwarten sein
be on the rise,steigen
fall in love (with,sich (in verschießen
Unverified go trouble (with,sich Arbeit (mit machen
go up in smoke,sich in Luft auflösen
have by the balls,an den Eiern haben
hold out one's hand,die Hand aufhalten
keep in good shape,in Schuss halten
leave in the lurch,in der Patsche sitzen lassen
live be in clover,warm und weich in der Wolle sitzen
make oneself at home,sich breitmachen
not give fuck,sich einen Scheißdreck darum kümmern
put in his place,auf seinen Platz verweisen
remain at the helm,das Heft in der Hand behalten
set one's heart on,sich auf kaprizieren
stare in the face,in die Augen springen
(as) fit as fiddle,fit wie ein Turnschuh
baby is on the way.,Ein Baby ist unterwegs.
And that's the end of that!,"Schluss, aus, Punktum!"
bang in the middle of,genau in der Mitte
Does that name ring bell?,Sagt Ihnen dir der Name etwas?
can't couldn't help but ...,Ich kann konnte nicht anders als ...
I'll be damned if know!,Ich habe keinen blassen Dunst!
not for all the tea in China,um nichts in der Welt
"Play the ball, not the man.","Tritt den Ball, nicht den Gegner."
The die is not yet cast.,Die Würfel sind noch nicht gefallen.
There is something in the wind.,Es liegt etwas in der Luft.
What the hell was that?,Was zum Teufel war das?
without cent his name,ohne einen Cent in der Tasche
be (like) putty in hands,Wachs in Händen sein
be at home in subject,sich in auf einem Gebiet auskennen
be in bit of bind,in der Zwickmühle stecken
be up in the air,in der Luft hängen
cast in negative light,in ein schlechtes Licht stellen
cost an arm and leg,arm machen
Unverified fall madly in love (with,sich unsterblich (in verlieben
fall violently in love (with,sich (in heftig verknallen
force one's ideas down throat,seine eigenen Ideen aufzwingen
get lost in the shuffle,in der Menge untergehen
get lost in the shuffle,in der Menge verloren gehen
have foot in the door,einen Fuß in der Tür haben
have heart-to-heart with,sich mit ausquatschen
have one's ducks in one row,sich gut organisiert und vorbereitet haben
live from hand mouth,von der Hand in den Mund leben
see which way the wind is blowing,"schauen, woher der Wind weht"
take bath in the crowd,ein Bad in der Menge nehmen
throw caution the wind winds,alle Bedenken in den Wind schlagen
worm one's way into affection,sich bei einschmeicheln
"the butcher, the baker, (and) the candlestick-maker",Hinz und Kunz
the scum of the earth,die Hefe des Volks
in harness,in zu der gewohnten Arbeit
hit home,den Nagel auf den Kopf treffen
in one's shirtsleeves,in Hemdärmeln
catch wind of,von Wind bekommen
have at hand,bei der Hand haben
know one's onions,sein Geschäft verstehen
rub it in,(noch) Salz auf in die Wunde streuen
shit brick,sich aus Angst in die Hosen scheißen
spill the beans,auspacken
stand testament,von zeugen
in one's birthday suit,im Adamskostüm
be mixed blessing,kein reiner Segen sein
be in bind,in einer Zwickmühle sein
be on the ball,am Ball sein
be on the table,auf dem Tisch liegen
dive head first into,sich kopfüber in stürzen
do in one go,in einem Rutsch durchziehen
give the dirt on,die Augen über öffnen
go up in smoke,sich in Wohlgefallen auflösen
hang in the air,in der Luft hängen
hang in the air,in der Luft schweben
have hand in,bei seine Hand im Spiel haben
shoot down in flames,in der Luft zerreißen
take one's time (with,sich (mit Zeit lassen
Does that name ring bell?,Erinnert Sie dich der Name an jemanden?
not for all the tea in China,nicht um alles in der Welt
"Okay, if you're twisting my arm.","Okay, bevor ich mich schlagen lasse."
That's far cry from saying that ...,"Das heißt noch lange nicht, dass ..."
These fists are lethal weapons.,Der zweite Schlag ist Leichenschändung.
be at one's wit's end,mit seinem Latein am Ende sein
be at one's wit's end,mit seiner Weisheit am Ende sein
be etched in on mind,sich in Gedächtnis eingegraben haben
be forged in the same furnace,aus demselben Holz geschnitzt sein
be in nice pickle,ganz schön in der Patsche sitzen
be in the right ballpark,in der richtigen Größenordnung sein
be in the same boat,in derselben Lage sein
be madly in love with,in unsterblich verliebt sein
be tied (one's) mother's apron strings,an Mutters Rockzipfel hängen
beat the shit out of,aus die Scheiße herausprügeln
bite the hand that feeds one,"(in) die Hand beißen, die einen füttert"
bulk large in thoughts,eine große Rolle in Denken spielen
end up on the scrapheap scrap heap,beim alten Eisen landen
get in the way of,in die Quere kommen
hand over the reins (of power),die Zügel aus der Hand geben
have say in the matter,in der Sache ein Wort Wörtchen mitzureden haben
have fucked brains out,das Gehirn rausgevögelt haben
have death on one's conscience,auf dem Gewissen haben
help out of the shit,aus der Scheiße helfen
kick in the crown jewels,in seine edleren Körperteile treten
lose one's grip on the situation,die Situation nicht mehr unter Kontrolle haben
park one's tanks on lawn,in Revier wildern
put all one's eggs in one basket,alles auf ein Pferd setzen
put all one's eggs into one basket,alles auf eine Karte setzen
put one's head in the noose,den Kopf in die Schlinge stecken
put words in into mouth,Worte in den Mund legen
take lot out of,zusetzen
take one's courage in both hands,sein Herz in beide Hände nehmen
twist around one's (little) finger,um den (kleinen) Finger wickeln
wrap round one's (little) finger,um den (kleinen) Finger wickeln
land of milk and honey,ein Land wo Milch und Honig fließen
go postal,ausrasten
ice out,die kalte Schulter zeigen
turn heads,Aufmerksamkeit erregen
She's in pod.,Bei ihr ist etwas (Kleines) unterwegs.
break the mold,neue Wege gehen
break the mould,neue Wege gehen
bust gut,sich krumm und bucklig arbeiten
close the door,die Tür hinter sich zumachen
do runner,(den Wirt) um die Zeche prellen
drum out of,mit Schimpf und Schande davonjagen
feel up,sich gewachsen fühlen
get the vapors,in Ohnmacht fallen
go through hoops,sich ein Bein ausreißen
kick one's heels,sich die Beine in den Bauch stehen
know inside out,bis ins zum Tezett kennen
overstep the line,(einen Schritt) zu weit gehen
eyes grow dim,brechen die Augen
Will wonders never cease?,Die Ochsen kälbern!
be fighting fit again,wieder auf dem Damm sein
be in the know,im Bild Bilde sein
be over the moon,ganz aus dem Häuschen sein
get the nod (for,grünes Licht bekommen (für
have thick skin,ein dickes Fell haben
make meal of,eine große Sache aus machen
make no bones of,kein Hehl aus machen
put oneself out for,sich wegen Umstände machen
spread oneself too thin,sich selbst überfordern
stack the deck (against,übel böse mitspielen
(taken) with grain of salt,cum grano salis
(There are) no two ways about it.,Das ist so sicher wie das Amen in der Kirche.
suspicion that something might be going on,ein Verdacht dass da etwas im Gange sein könnte
Are you taking the mickey out of me?,Willst du mich auf den Arm nehmen?
Don't hide your light under bushel!,Du sollst dein Licht nicht unter den Scheffel stellen!
Don't let it trouble you!,Macht euch (doch) deswegen keinen Kopf!
Don't make such hue and cry about it!,Mach doch nicht so'n Gedöns!
Don't piss down my back and tell me it's raining.,Erzähl mir keine Märchen.
Easier fit camel through the eye of needle.,Eher geht ein Kamel durchs Nadelöhr.
Everyone knows best where the shoe pinches him.,"Jeder weiß am besten, wo ihn der Schuh drückt."
He jumped out of the frying pan into the fire.,Er kam vom Regen in die Traufe.
He's not quite right in the head.,Er ist nicht ganz richtig im Kopf.
He's not the brightest bulb in the box.,Er ist nicht der Hellste.
can't get my head around it.,Es will mir nicht in den Kopf.
don't have eyes in the back of my head!,Ich hab doch hinten keine Augen!
trust him as far as can throw him.,Ich traue ihm nicht über den Weg.
I'm at my wits' end.,Ich bin mit meiner Kunst am Ende.
I've good mind do,"Ich habe hätte große Lust, zu tun"
"If you've got it, flaunt it.",Man soll sein Licht nicht unter den Scheffel stellen.
It annoys the heck out of me!,Es geht mir sowas von auf den Sack!
It's enough drive you up the wall.,"Es ist, um die Wände hochzugehen."
It's like Piccadilly Circus here.,Hier geht es zu wie im Taubenschlag.
It's like stealing candy from baby.,Es ist ein Kinderspiel.
It's like talking brick wall.,"Es ist, als würde man gegen eine Wand reden."
She decided give him wide berth.,"Sie nahm sich vor, ihm aus dem Weg zu gehen."
She has crush on him.,Sie hat an ihm einen Narren gefressen.
That was as stupid as you can get.,"Das war dümmer, als die Polizei erlaubt."
That's six of one and half dozen of another.,Das ist Jacke wie Hose.
The eyes of the world are on sth..,Die Augen der Welt sind auf gerichtet.
the other side of the coin,die Kehrseite der Medaille
They got so they couldn't stop.,"Es kam soweit, daß sie nicht mehr aufhören konnten."
We'd like have it done.,Wir hätten es gerne vom Tisch.
We've been pussyfooting around far too long.,Wir haben uns zu lange um die Sache herumgedrückt.
You always have have something gripe about.,Immer müssen Sie ein Haar in der Suppe finden.
You can't get enough of good thing.,Von etwas Gutem kann man nie genug kriegen.
You haven't an earthly chance.,Sie haben nicht die geringste Aussicht.
You hit that nail square on the head!,Du hast den Nagel genau auf den Kopf getroffen!
You've got look out for number one.,"Man muss schließlich sehen, wo man bleibt."
(try and) get in good books,sich bei lieb Kind machen
Unverified (try and) get on the right side of,sich bei lieb Kind machen
be (down) in the dumps,einen seinen Moralischen haben
be brick short of (full) load,nicht (mehr) alle Tassen im Schrank haben
be household name (to,ein Begriff sein
be as alike as two peas in pod,sich gleichen wie ein Ei dem anderen
be at complete loss (as what do),dasitzen dastehen wie ein Schwein vorm Uhrwerk
be at one's wits' end,am Ende seines Lateins sein
be cut from the same cloth as,aus demselben Holz geschnitzt sein wie
be glad pleased see the back of,"froh sein, hinter sich zu haben"
be hell-bent on getting one's own way,mit dem Kopf durch die Wand wollen
be hit between the eyes by,von wie vor den Kopf geschlagen sein
be in for (real big) surprise,(noch) (große) Augen machen werden
be like child in sweet shop,sich wie ein Kind vor dem Weihnachtsbaum fühlen
be like child in sweet shop,sich wie ein Kind vorm Weihnachtsbaum fühlen
be on the prowl (for,auf der Jagd (nach sein
be unable see the wood for the trees,den Wald vor lauter Bäumen nicht sehen können
be well on one's way doing,"auf dem besten Wege sein, zu tun"
blow up in face,auf die Füße fallen
dig one's heels toes feet in,seinen Dickkopf durchsetzen wollen
feel as if one has been on the rack,sich fühlen wie durch den Wolf Fleischwolf gedreht
feel like kid in the candy store,sich wie ein Kind im Süßwarenladen fühlen
get patient back up on his feet,einen Patienten wieder auf die Beine stellen
give piece of one's mind,ordentlich Bescheid sagen
have keep half an eye on,mit einem halben Auge im Blick haben behalten
have big say in,großen Einfluss auf haben nehmen
have been dropped on one's head as baby,als Kind zu heiß gebadet worden sein
have the edge on over,die Nase vor haben
have worm everything out of,die Würmer aus der Nase ziehen müssen
keep rubbing in the fact that ...,"auf die Semmel schmieren, dass ..."
lay the blame for at the feet of,etw in die Schuhe schieben
lead up down the garden path,hinter die Fichte führen
not be worth cup of cold piss,nicht das Schwarze unterm Fingernagel wert sein
not care rotten nut for,sich um einen feuchten Kehricht scheren
not care two figs about,mit nichts am Hut haben
not give damn about,sich einen Dreck um scheren
not make any effort (to do,sich nicht die geringste Mühe geben zu tun)
open one's mouth and insert one's foot,ins Fettnäpfchen treten und noch eins oben draufsetzen
put lay one's cards on the table,die Hosen runterlassen
put throw spanner in works,einen Knüppel zwischen die Beine werfen
run like (common golden) thread through,sich wie ein roter Faden durch ziehen
sell for next nothing,nachschmeißen
shake the dust of off one's feet,den Staub von den Füßen schütteln
take follow the path of least resistance,ein Dünnbrettbohrer sein
take turn for the worse,sich zum Schlechteren wenden
throw spanner in the works,einen Strich durch die Rechnung machen
throw wrench in the works,einen Strich durch die Rechnung machen
throw into the same pot with somebody else,mit jemand anders in einen Topf werfen
bad quarter of an hour,"eine kurze, böse Erfahrung"
flash in the pan,eine Eintagsfliege
fly by,(wie) im Flug Fluge vergehen
haul ass,wie eine gesengte Sau fahren
gets owned by,wird von blamiert
be chuffed about,sich riesig über freuen
catch wind of,von Wind kriegen
give rise,aufkeimen lassen
hold one's breath,den Atem verhalten
let have it,es geben
say one's piece,seinen Teil sagen
set in motion,in die Wege leiten
shit blue lights,sich vor Angst in die Hose scheißen
(right) on the button,(genau) ins Schwarze getroffen
in no uncertain terms,in nicht misszuverstehender Deutlichkeit
in the long run,auf die Länge
come terms with,sich in hineinfinden
fall (just) short of,(knapp) verfehlen
go through the roof,durch die Decke gehen
have in one's pocket,in der Tasche haben
ray of sunshine,ein (richtiger) Sonnenschein
Don't give me that ... bullshit,Komm mir nicht mit diesem ...-Scheiß.
in the pink of his her youth,in der Blüte seiner ihrer Jugend
in two shakes (of dog's tail),in null Komma nichts
My heart is in my boots.,Das Herz ist mir in die Hose gerutscht.
not for all the coffee in Brazil,nicht um alles in der Welt
Unverified So that's the way the wind is blowing!,Daher weht (also) der Wind!
There's fly in the ointment.,Es ist ein Haar in der Suppe.
They live from hand mouth.,Sie leben von der Hand in den Mund.
ask for young lady's hand,um die Hand einer jungen Dame bitten
be in the driving seat,die Zügel in der Hand haben halten
be left out in the cold,in die Röhre gucken schauen
be slow off the mark,schwer von Begriff sein
Unverified be talking out of one's ass,den Arsch offen haben
be thrown off the rails,aus den Gleisen geworfen werden
be tied (one's) mother's apron strings,der Mutter am Rockzipfel hängen
be tied one's mother's apron-string,der Mutter am Schürzenzipfel hängen
blow smoke up ass,Zucker in den Arsch blasen
get (back) into the swing of,sich (wieder) an gewöhnen
get one's arse in gear,in die Pötte kommen
go off the cliff,über eine die Klippe springen
have face like the back of bus,potthässlich sein
have fucked one's brains out,sich das Gehirn rausgevögelt haben
have more than one string one's bow,mehrere Eisen im Feuer haben
have one's tongue tied in knot,einen Knoten in der Zunge haben
Unverified live in other people's pockets,die Hand in anderer fremder Leute Tasche haben
murmur mutter in one's boots beard,in den Bart murmeln brummeln
nip at sth.'s heels,dicht auf den Fersen sein
put the genie back in the bottle,den Geist zurück in die Flasche zwingen
strike chord in with,in bei eine Saite zum Klingen bringen
take make stand against,sich gegen zur Wehr setzen
wash one's dirty linen in public,seine schmutzige Wäsche in der Öffentlichkeit waschen
give hell,die Hölle heißmachen
sell out,sich selbst untreu werden
It's my treat.,Das geht auf meinen Nacken.
On your left!,
head is spinning,schwirrt der Kopf
be spoken for,in festen Händen sein
get into knickers,von rangelassen werden
hold one's horses,die Luft anhalten
jump through hoops,sich ein Bein ausreißen
keep track of,weiterverfolgen
love bits,zum Fressen gern haben
make sense of,sich einen Reim auf machen
puke one's ring,sich die Seele aus dem Leib kotzen
rub nose in,aufs Brot schmieren
run on fumes,auf dem letzten Loch pfeifen
stand one's ground,seinen Mann stehen
turn upside down,auf den Kopf stellen
come terms with,sich mit arrangieren
keep one's end up,seinen Teil einhalten
pull the plug on,den Hahn zudrehen
put under the microscope,genau unter die Lupe nehmen
take one's heels,die Beine in die Hand nehmen
wipe the floor with,mit Schlitten fahren
... is not his long suit.,... ist nicht gerade sein Markenzeichen.
Unverified Can have word in your shell-like?,Kann ich mit dir ein Wörtchen reden?
Do you have the time?,Können Sie mir die Uhrzeit sagen?
He made this story out of whole cloth.,Er hat sich diese Geschichte aus den Fingern gesogen.
He won't bite your head off.,Er wird dir (schon) nicht (gleich) den Kopf abreißen.
He's head over heels in love with her.,Er ist ihr mit Haut und Haar Haaren verfallen.
Help arrived day late and dollar short.,Die Hilfe kam zu spät und griff zu kurz.
can't get the knack of it.,Ich krieg (einfach) den (richtigen) Dreh nicht raus.
wish you good luck for your future endeavors.,Ich wünsche Dir alles Gute für Deine künftigen Unternehmungen.
wish you good luck in your future endeavors.,Ich wünsche Dir alles Gute für Deine künftigen Unternehmungen.
wish you good luck with your future endeavors.,Ich wünsche Dir alles Gute bei Deinen zukünftigen Unternehmungen.
I'm as drunk as anything.,Ich bin blau wie sonst was.
I've half mind do,"Ich habe hätte große Lust, zu tun"
in case of being caught in the act,im Betretungsfall
It's enough drive you up the wall that ...,"Es ist zum Aus-der-Haut-Fahren, dass ..."
"Let me have my cake and eat it, too.","Wasch mir den Pelz, aber mach mich nicht nass."
May talk you privately?,Darf ich mit Ihnen unter vier Augen sprechen?
eyes (nearly) pop out of his her head,fallen die Augen (fast) raus
Sb. Sth. seems have disappeared off the face of the earth.,Jd. Etw. ist wie vom Erdboden verschwunden.
That's six of one and half dozen of the other.,Das ist gehupft wie gesprungen.
That's six of one and half dozen of the other.,Das ist Jacke wie Hose.
The ball is in your court.,Sie sind Du bist jetzt am Zug.
The shit is going hit the fan soon.,Bald ist die Kacke am Dampfen.
The stuff that dreams are made of.,"Der Stoff, aus dem die Träume sind."
This fell off the back of lorry.,Das ist vom Lastwagen gefallen.
Why keep dog and bark yourself?,"Warum etwas selbst machen, wenn man hat, der dafür bezahlt wird?"
You can't have your cake and eat it too.,Man kann nicht auf zwei Hochzeiten gleichzeitig tanzen.
You don't have shout it from the housetops!,Hängen Sie es nicht an die große Glocke!
Unverified not know whether one is afoot or horseback,"nicht wissen, wo einem der Kopf steht"
be few spokes shy of wheel,nicht alle Tassen im Schrank haben
be at odds with oneself and the world,in Hader mit sich und der Welt leben
be back on one's feet,wieder auf dem Damm sein
be born with silver spoon in one's mouth,mit dem goldenen Löffel im Mund geboren sein
be champing chomping at the bit do,"es kaum erwarten können, endlich zu tun"
be for the high jump,sich auf etwas gefasst machen können
be meek and mild about,zu Ja und Amen sagen
be not off the table,noch nicht vom Tisch sein
be on one's beam-ends,auf dem Trockenen sitzen
be out of one's mind with,vor verrückt sein
be slow on the uptake,ein Brett vor dem vorm Kopf haben
be swept off one's feet,sofort hin und weg sein
bite the hand that feeds you,"den Ast absägen, auf dem man sitzt"
come (back) down earth (with bang bump jolt),(hart) auf dem Boden der Realität Tatsachen aufschlagen
come (back) down earth with bang bump jolt,unsanft auf dem Boden der Realität Tatsachen landen
come out on the short end,den Kürzeren ziehen
drain the cup of sorrow the dregs,den Kelch des Leidens bis zur Neige leeren
get wrap one's laughing gear around,sich zwischen die Zähne schieben
give bad hard rough thin time (of it),das Leben schwermachen
give the (old) heave-ho,abservieren
give the back of one's hand,die kalte Schulter zeigen
go in one ear and out the other,zum einen Ohr hinein und zum anderen wieder hinaus gehen
Unverified go (some lot of) trouble (for,sich (für (große) Mühe geben
Unverified have (got it in one do,das Zeug zu haben
have frog in one's throat,eine Kröte im Hals haben
have been dropped on one's head by one's mother,als Kind zu heiß gebadet worden sein
have had it (up here) with,die Nase voll von haben
have the edge on over,(im Vergleich mit zu die Nase vorn haben
hold gun head,die Pistole auf die Brust setzen
let slip through one's fingers,sich durch die Lappen gehen lassen
nail one's colours the mast,Farbe bekennen
not give tinker's curse about,sich einen feuchten Kehricht um scheren
not give tinker's cuss about,sich einen feuchten Kehricht um scheren
not give tinker's damn about,sich einen feuchten Kehricht um scheren
pick up the slack for,für einspringen
pull chestnuts out of the fire,für die Kastanien aus dem Feuer holen
put one's foot in it,sich den Mund verbrennen
run out of town (on rail),mit Schimpf und Schande aus der Stadt treiben
stand in the way of,im Wege Weg stehen
take follow the line of least resistance,ein Dünnbrettbohrer sein
take back seat,gegenüber eine untergeordnete Rolle spielen
try get in someone's pants,an die Wäsche gehen
want have one's cake and eat it too,den Fünfer und das Weggli haben wollen
the (last) straw that breaks the camel's back,der (letzte) Tropfen der das Fass zum Überlaufen bringt
the straw that broke the camel's back,der (letzte) Tropfen der das Fass zum Überlaufen brachte
go downhill,abbauen
give voice,aussprechen
miss the boat,den Zug verpassen
take task,sich schnappen
be in full spate,voll im Gange sein
be on the increase,auf dem Vormarsch sein
be on the streets,auf der Straße liegen
bring one's knees,auf die Knie zwingen
fight tooth and nail,sich mit Händen und Füßen gegen wehren
pull the plug on,mit Schluss machen
take the edge off,die Schärfe nehmen
throw down the gauntlet,den Handschuh vor die Füße werfen
in the prime of one's life,in der Blüte seiner ihrer der Jahre
She was coming on me!,Aber sie wollte doch was von mir!
That's Philipp T.,"Das ist Philipp, wie er leibt und lebt."
That's what gives it that extra something.,Das ist das Salz in der Suppe.
Then the shit'll hit the fan.,Dann ist die Scheiße am Kochen.
up one's ears in debt,bis zu den Ohren in Schulden
way out in the sticks,in der Pampa
when Nelson gets his eye back,am Sankt-Nimmerleins-Tag
with one's heart in one's boots,mit dem Herz in der Hose
be half in the bag,einen in der Krone haben
be hauled over the coals,ein Donnerwetter über sich ergehen lassen müssen
Unverified be talking out of one's arse,den Arsch offen haben
Unverified be up one's eyes neck in it,in der Patsche sitzen
Unverified be up one's eyes neck in it,in der Scheiße sitzen
be up the hilt in debt,(bis) über beide Ohren in Schulden stecken
be written large in the history of,in die Geschichte von eingegangen sein
beat the shit out of,die Scheiße aus dem Leib prügeln
fall head over heels in love (with,sich Hals über Kopf (in verlieben
get out of sth.'s control,entgleiten
get in hell of mess,in Teufels Küche bringen
have finger in every pie,überall seine Hand Hände im Spiel haben
have one's head in the clouds,auf Wolken in den Wolken schweben
